order_id,zone,merchant_name,assigned,assigned_driver_id,assigned_driver_name,offer_amount,effective_pay_per_mile,total_economic_miles,total_minutes,status,reason,zone_pressure_multiplier
ORD-000001,clintonville,Chipotle,True,DRV-0064,Driver 64,24.76,5.42,4.57,33.72,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000002,clintonville,Ritzy's,True,DRV-0064,Driver 64,34.9,4.31,8.09,30.6,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000003,clintonville,Starbucks,True,DRV-0064,Driver 64,20.53,5.59,3.67,29.32,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000004,clintonville,Pizza Hut,True,DRV-0064,Driver 64,38.05,4.46,8.54,25.6,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000005,short_north,McDonald's,True,DRV-0131,Driver 131,43.59,5.55,7.86,40.86,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000006,short_north,McDonald's,True,DRV-0131,Driver 131,28.18,6.06,4.65,23.52,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000007,short_north,Taco Bell,True,DRV-0131,Driver 131,28.29,5.23,5.41,34.62,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000008,northland,Ritzy's,True,DRV-0017,Driver 17,40.09,4.15,9.66,33.96,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000009,osu,Kroger,True,DRV-0007,Driver 7,43.17,5.13,8.41,22.81,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000010,clintonville,McDonald's,True,DRV-0064,Driver 64,30.59,4.98,6.14,36.8,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000011,dublin_edge,Taco Bell,True,DRV-0108,Driver 108,34.15,4.21,8.12,30.08,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000012,osu,Ritzy's,True,DRV-0007,Driver 7,47.12,4.38,10.76,40.09,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000013,osu,McDonald's,True,DRV-0007,Driver 7,44.48,4.54,9.8,26.61,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000014,clintonville,Starbucks,True,DRV-0064,Driver 64,31.75,5.97,5.32,31.62,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000015,worthington,Chipotle,True,DRV-0108,Driver 108,35.67,6.05,5.9,33.72,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000016,northland,Chipotle,True,DRV-0017,Driver 17,38.26,4.19,9.13,20.61,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000017,osu,Taco Bell,True,DRV-0007,Driver 7,38.85,4.44,8.75,23.36,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000018,clintonville,Taco Bell,True,DRV-0064,Driver 64,29.92,4.16,7.19,20.77,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000019,northland,Taco Bell,True,DRV-0017,Driver 17,26.06,5.51,4.73,28.24,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000020,beechwold,McDonald's,True,DRV-0139,Driver 139,22.61,6.61,3.42,40.79,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000021,worthington,Pizza Hut,True,DRV-0108,Driver 108,32.18,5.17,6.23,37.5,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000022,clintonville,Ritzy's,True,DRV-0064,Driver 64,32.21,4.05,7.96,33.36,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000023,short_north,Awadh India Restaurant,True,DRV-0131,Driver 131,36.02,5.38,6.69,23.6,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000024,short_north,Starbucks,True,DRV-0131,Driver 131,25.77,8.13,3.17,37.46,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000025,osu,Taco Bell,True,DRV-0007,Driver 7,31.91,5.11,6.24,18.05,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000026,osu,Wendy's,True,DRV-0007,Driver 7,40.68,5.05,8.06,25.72,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000027,worthington,Starbucks,True,DRV-0108,Driver 108,45.86,5.12,8.96,27.36,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000028,clintonville,McDonald's,True,DRV-0064,Driver 64,32.26,4.18,7.72,27.7,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000029,short_north,Chipotle,True,DRV-0131,Driver 131,28.26,9.09,3.11,25.05,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000030,northland,Awadh India Restaurant,True,DRV-0017,Driver 17,37.6,5.2,7.23,39.9,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000031,osu,Iron Grill BBQ & Breakfast,True,DRV-0007,Driver 7,21.87,6.43,3.4,30.07,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000032,northland,Taco Bell,True,DRV-0017,Driver 17,33.34,5.36,6.22,39.12,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000033,osu,Kroger,True,DRV-0007,Driver 7,37.32,5.32,7.01,26.5,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000034,northland,Taco Bell,True,DRV-0017,Driver 17,28.9,4.49,6.44,31.1,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000035,clintonville,Iron Grill BBQ & Breakfast,True,DRV-0064,Driver 64,24.35,6.36,3.83,27.03,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000036,worthington,Pizza Hut,True,DRV-0108,Driver 108,39.13,5.53,7.07,21.62,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000037,clintonville,McDonald's,True,DRV-0064,Driver 64,35.86,6.35,5.65,36.92,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000038,northland,Iron Grill BBQ & Breakfast,True,DRV-0017,Driver 17,38.59,4.38,8.82,28.99,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000039,osu,Awadh India Restaurant,True,DRV-0007,Driver 7,41.84,4.66,8.97,22.78,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000040,worthington,Chipotle,True,DRV-0108,Driver 108,33.89,5.5,6.16,26.76,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000041,clintonville,Ritzy's,True,DRV-0064,Driver 64,22.78,5.68,4.01,28.55,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000042,ua_edge,Iron Grill BBQ & Breakfast,True,DRV-0034,Driver 34,41.53,5.49,7.57,26.8,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000043,worthington,Wendy's,True,DRV-0108,Driver 108,46.84,4.6,10.18,32.42,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000044,beechwold,Taco Bell,True,DRV-0139,Driver 139,30.8,7.59,4.06,25.6,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000045,osu,Wendy's,True,DRV-0007,Driver 7,34.92,5.17,6.75,34.6,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000046,clintonville,Kroger,True,DRV-0064,Driver 64,36.58,4.44,8.24,21.16,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
